measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,10 to 54 years,Total cancers,Percent,1994,0.13592108311256068,0.14154931145970875,0.12991499492528746
Deaths,Global,Both,5-19 years,Total cancers,Percent,1994,0.0520653181084799,0.05802749861337018,0.04607603262218751
Deaths,Global,Both,15-39 years,Total cancers,Percent,1994,0.07567487992777251,0.08031217267614006,0.0708819730257046
Deaths,Global,Both,25-49 years,Total cancers,Percent,1994,0.13659669121370796,0.1425011243356492,0.13027119780813456
Deaths,Global,Both,55+ years,Total cancers,Percent,1994,0.17714252927201268,0.18104132661627487,0.17056223912711907
Deaths,Global,Both,60-79 years,Total cancers,Percent,1994,0.2026146746594614,0.2064305675480011,0.19741446429629514
Deaths,Global,Both,65-74 years,Total cancers,Percent,1994,0.20990567191664536,0.2138471225548466,0.20469356838450165
Deaths,Global,Both,75-84 years,Total cancers,Percent,1994,0.1452790292039918,0.149561558648955,0.13698561621006747
Deaths,Global,Both,20-54 years,Total cancers,Percent,1994,0.14644721485171072,0.15218584759422496,0.140184051070315
Deaths,Global,Both,55-89 years,Total cancers,Percent,1994,0.18369535157351982,0.1875672941043948,0.1775375127447646
Deaths,Global,Both,60-89 years,Total cancers,Percent,1994,0.17710599790779652,0.18110671864379344,0.1705907421777442
Deaths,Global,Both,65-89 years,Total cancers,Percent,1994,0.1672573595315338,0.1712955953129417,0.16016427404800315
Deaths,Global,Both,70-89 years,Total cancers,Percent,1994,0.15243066431039448,0.15661186089785528,0.14432398231843113
Deaths,Global,Both,75-94 years,Total cancers,Percent,1994,0.12937663532741886,0.13415947179917645,0.11971331324892835
Deaths,Global,Both,1-4 years,Total cancers,Percent,2013,0.01961655789168676,0.023814237858690048,0.015588906294052234
Deaths,Global,Both,5-9 years,Total cancers,Percent,2013,0.06348983686962126,0.06988824012393219,0.05745378309654136
Deaths,Global,Both,10-14 years,Total cancers,Percent,2013,0.07942168189223475,0.08604309157126672,0.07292401428530744
Deaths,Global,Both,15-19 years,Total cancers,Percent,2013,0.05817113687613363,0.06145113881040103,0.0545339073602344
Deaths,Global,Both,20-24 years,Total cancers,Percent,2013,0.05755485775379986,0.05993562611840214,0.0545248471338516
Deaths,Global,Both,25-29 years,Total cancers,Percent,2013,0.06861840821774919,0.07234979795087391,0.06429736520916969
Deaths,Global,Both,30-34 years,Total cancers,Percent,2013,0.08919620396199764,0.09343511239629358,0.08405003090817464
Deaths,Global,Both,35-39 years,Total cancers,Percent,2013,0.12137769665097736,0.12735715348683097,0.1147069335296192
Deaths,Global,Both,40-44 years,Total cancers,Percent,2013,0.1682112107413936,0.17339911870234004,0.1635547635863
Deaths,Global,Both,45-49 years,Total cancers,Percent,2013,0.21190228213130574,0.21833453709618086,0.2062645814813826
Deaths,Global,Both,50-54 years,Total cancers,Percent,2013,0.24074379893415673,0.24592839755631649,0.23569266032829378
Deaths,Global,Both,55-59 years,Total cancers,Percent,2013,0.2658484230418194,0.27109754927280033,0.26030539802349345
Deaths,Global,Both,60-64 years,Total cancers,Percent,2013,0.2681394515910238,0.27325109631431754,0.26169047233294274
Deaths,Global,Both,65-69 years,Total cancers,Percent,2013,0.25439045275527095,0.2595241312580809,0.246973558270044
Deaths,Global,Both,70-74 years,Total cancers,Percent,2013,0.22499378681602697,0.23007379822395235,0.2164862192852876
Deaths,Global,Both,75-79 years,Total cancers,Percent,2013,0.19661012495686328,0.20198974110420895,0.18608823173031866
Deaths,Global,Both,5-14 years,Total cancers,Percent,2013,0.0702216155621791,0.0759803774951495,0.06407734668632606
Deaths,Global,Both,15-49 years,Total cancers,Percent,2013,0.13210310609759846,0.13620782784214913,0.1278030989096259
Deaths,Global,Both,50-69 years,Total cancers,Percent,2013,0.2584589331791519,0.26321665704297414,0.2523957239435325
Deaths,Global,Both,80-84,Total cancers,Percent,2013,0.1575525826760639,0.16500101304142262,0.14133957209612963
Deaths,Global,Both,85-89,Total cancers,Percent,2013,0.12970730437859593,0.138579617331863,0.1113236815584582
